Année;Domaine;Domein;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
2017;PE introduits;MV ingediend;112;Produits phytopharmaceutiques;Gewasbeschermingsmiddelen;0;0;0
2017;PE introduits;MV ingediend;125;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;0;0;0
2017;PE introduits;MV ingediend;138;Cabine de peinture, carosserie, vernis;Spuitcabine, verfcabine, carrosserie, vernis;0;0;0
2017;PE introduits;MV ingediend;145;Textile (traitement chimique);Textiel (chemische bewerking);0;0;0
2017;PE délivrés;MV afgeleverd;40;Combustion (installations de);Verbranding (inrichtingen);186;69;117
2017;PE délivrés;MV afgeleverd;121;Produits dangereux (dépôts);Gevaarlijke producten (opslagplaatsen);19;0;19
2017;PE délivrés;MV afgeleverd;22;Boues (dépôts);Slib (opslag);3;0;3
2017;PE délivrés;MV afgeleverd;68;Garages, parkings;Garages, parkings;2;1;1
2017;PE délivrés;MV afgeleverd;124;Produits minéraux (dépôts fermés);Minerale producten (overdekte opslagplaatsen);2;0;2
2017;PE délivrés;MV afgeleverd;47;Déchets non dangereux (dépôt);Niet gevaarlijke afvalstoffen (opslagplaats);1;0;1
2017;PE délivrés;MV afgeleverd;33;Citernes (nettoyage);Tanken (schoonmaak);0;0;0
2017;PE délivrés;MV afgeleverd;106;Os, sous-produits animaux;Beenderen, dierlijke bijproducten;0;0;0
2017;PE délivrés;MV afgeleverd;135;Spectacles, Salle polyvalente;Schouwspelen, polyvalente zaal;0;0;0
2016;PE introduits;MV ingediend;135;Spectacles;Schouwspelen;23;16;7
2016;PE introduits;MV ingediend;138;Surface (application);Oppervlakte (aanbrenging);2;0;2
2016;PE introduits;MV ingediend;12;Automobiles, carwash, car-wash, voitures, véhicules;Automobielen, carwash, voertuigen;0;0;0
2016;PE introduits;MV ingediend;29;Chantiers;Werven;0;0;0
2016;PE introduits;MV ingediend;45;Déchets dangereux (dépôt);Gevaarlijke afvalstoffen (opslag);0;0;0
