Année;Commune;Gemeente;Total commune;Total hommes;% Hommes;Total femmes;% Femmes;"Total niveau d'étude ""faible""";"% Niveau d'étude ""faible""";"Hommes - Niveau d’études ""faible""";"% Hommes - Niveau d’études ""faible""";"Femmes - Niveau d’études ""faible""";"% Femmes - Niveau d’études ""faible""";"Total niveau d'étude ""moyen""";"% Niveau d'étude ""moyen""";"Hommes - Niveau d’études ""moyen""";"% Hommes - Niveau d’études ""moyen""";"Femmes - Niveau d’études ""moyen""";"% Femmes - Niveau d’études ""moyen""";"Total niveau d'étude ""élevé""";"% Niveau d'étude ""élevé""";"Hommes - Niveau d’études ""élevé""";"% Hommes - Niveau d’études ""élevé""";"Femmes - Niveau d’études ""élevé""";"% Femmes - Niveau d’études ""élevé""";Total étrangers sans équivalence;% Étrangers sans équivalence;Hommes étrangers sans équivalence;% Hommes étrangers sans équivalence;Femmes étrangères sans équivalence;% Femmes étrangère sans équivalence
2016;Ganshoren;Ganshoren;1757.0;807;45.93056346044394;950;54.06943653955606;478;27.205463858850315;238;13.545816733067728;240;13.659647125782584;411;23.392145702902674;168;9.56175298804781;243;13.830392714854867;200;11.383039271485487;94;5.350028457598179;106;6.033010813887308;668;38.01935116676153;307;17.47296528173022;361;20.546385885031306
2015;Anderlecht;Anderlecht;11450.0;6176;53.93886462882096;5273;46.05240174672489;3205;27.991266375545855;1826;15.947598253275109;1379;12.043668122270743;2347;20.497816593886466;1124;9.816593886462883;1223;10.681222707423581;856;7.475982532751092;397;3.467248908296943;459;4.008733624454148;5041;44.02620087336245;2829;24.707423580786024;2212;19.31877729257642
2015;Saint-Gilles;Sint-Gillis;5788.0;3242;56.012439530062196;2546;43.987560469937804;1087;18.780234968901173;690;11.921216309606082;397;6.859018659295094;1003;17.328956461644783;562;9.70974429854872;441;7.61921216309606;1216;21.00898410504492;565;9.76157567380788;651;11.247408431237043;2482;42.88182446440912;1425;24.61990324809952;1057;18.261921216309606
2015;Watermael-Boitsfort;Watermaal-Bosvoorde;1398.0;646;46.20886981402003;753;53.862660944206006;303;21.67381974248927;166;11.874105865522175;137;9.799713876967097;348;24.892703862660944;179;12.804005722460657;169;12.088698140200286;415;29.685264663805437;164;11.731044349070102;251;17.954220314735338;333;23.819742489270386;137;9.799713876967097;196;14.020028612303289
2014;Anderlecht;Anderlecht;12347.0;6674;54.05361626305986;5672;45.938284603547416;3680;29.804810885235277;2051;16.61132258848303;1629;13.193488296752248;2620;21.219729488944683;1241;10.051024540374181;1379;11.168704948570502;892;7.224426986312464;442;3.5798169595853246;450;3.64461002672714;5154;41.742933506114845;2940;23.811452174617315;2214;17.93148133149753
2014;Bruxelles;Brussel;17702.0;9874;55.77900802169247;7826;44.20969381990735;4598;25.97446616201559;2724;15.388091741046209;1874;10.586374420969381;3365;19.009151508304146;1719;9.710767144955373;1646;9.298384363348774;1943;10.976160885775618;996;5.6264828832900236;947;5.349678002485595;7794;44.02892328550446;4435;25.05366625240086;3359;18.975257033103603
2014;Evere;Evere;3199.0;1484;46.389496717724285;1715;53.610503282275715;998;31.19724914035636;505;15.78618318224445;493;15.41106595811191;768;24.00750234448265;342;10.69084088777743;426;13.31666145670522;318;9.940606439512347;131;4.0950296967802435;187;5.845576742732104;1115;34.85464207564864;506;15.817442950922164;609;19.037199124726477
2014;Ixelles;Elsene;7909.0;4490;56.77076748008598;3419;43.22923251991402;1460;18.45998229864711;964;12.188645846503983;496;6.271336452143128;1539;19.45884435453281;882;11.15185232014161;657;8.3069920343912;2028;25.641674042230374;996;12.593248198255152;1032;13.048425843975217;2882;36.43949930458971;1648;20.83702111518523;1234;15.602478189404476
2014;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;11424.0;6186;54.14915966386554;5239;45.85959383753501;3260;28.53641456582633;1811;15.852591036414566;1449;12.683823529411764;2354;20.605742296918766;1098;9.611344537815127;1256;10.994397759103641;749;6.556372549019608;342;2.9936974789915967;407;3.562675070028011;5062;44.31022408963585;2935;25.691526610644257;2127;18.618697478991596
2014;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;3893.0;2194;56.35756486000514;1700;43.66812227074236;867;22.270742358078603;554;14.230670434112511;313;8.040071923966092;571;14.667351656819932;274;7.038273824813768;297;7.629077832006165;284;7.295145132288723;142;3.6475725661443614;142;3.6475725661443614;2172;55.79244798356024;1224;31.4410480349345;948;24.351399948625737
2014;Uccle;Ukkel;4835.0;2253;46.597724922440534;2581;53.38159255429162;1067;22.06825232678387;574;11.8717683557394;493;10.196483971044469;1169;24.177869700103415;581;12.016546018614271;588;12.161323681489142;1234;25.522233712512925;519;10.734229576008273;715;14.788004136504654;1364;28.210961737331953;579;11.975180972078594;785;16.23578076525336
2014;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;2732.0;1306;47.80380673499268;1425;52.15959004392386;647;23.682284040995608;348;12.73792093704246;299;10.944363103953147;655;23.975109809663252;338;12.371888726207906;317;11.603221083455344;657;24.048316251830162;297;10.871156661786237;360;13.177159590043924;772;28.257686676427525;323;11.822840409956076;449;16.43484626647145
