Classe PEB;Classe PEB principale;Émission C02 kWh/m²/an;Type;Type;Type;Catégorie de logement;Woningcategorie;Housing category;ID Lot;ID Immeuble;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;Coordonnées géographiques
C;C;23;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;03072;0117;RUE VAN ARTEVELDE 126;126 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8484751, 4.3473924
B-;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06166;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06175;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06168;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B-;B;17;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06182;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06181;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06177;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06176;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B;B;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06180;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B-;B;16;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06172;0422;RUE SIMONS 4-8;4-8 SIMONSSTRAAT;1000;Bruxelles;Brussel;Nord;Noord;50.8701538, 4.3199288
B;B;15;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06666;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B+;B;14;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06665;0437;RUE VAN ARTEVELDE 118 - 122;118 - 122 ARTEVELDESTRAAT;1000;Bruxelles;Brussel;Artevelde - Saint-Géry;Artevelde - Sint-Goriks;50.8486641, 4.3471019
B+;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05801;0402;HARENBERG 157;157 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930133, 4.4144654
B;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05806;0402;HARENBERG 157;157 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930133, 4.4144654
B+;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05781;0402;HARENBERG 157;157 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930133, 4.4144654
B;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05793;0402;HARENBERG 157;157 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930133, 4.4144654
B;B;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05796;0402;HARENBERG 157;157 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930133, 4.4144654
B;B;11;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05794;0402;HARENBERG 157;157 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930133, 4.4144654
B+;B;9;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05789;0402;HARENBERG 157;157 HARENBERG;1130;Haren;Haren;Haren;Haren;50.8930133, 4.4144654
C;C;24;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05914;0406;MIDDELWEG 33-39;33-39 MIDDELWEG;1130;Haren;Haren;Haren;Haren;50.8890629, 4.420781
B;B;14;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05913;0406;MIDDELWEG 33-39;33-39 MIDDELWEG;1130;Haren;Haren;Haren;Haren;50.8890629, 4.420781
B;B;14;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05922;0406;MIDDELWEG 33-39;33-39 MIDDELWEG;1130;Haren;Haren;Haren;Haren;50.8890629, 4.420781
C+;C;22;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05928;0406;MIDDELWEG 33-39;33-39 MIDDELWEG;1130;Haren;Haren;Haren;Haren;50.8890629, 4.420781
C+;C;20;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;05919;0406;MIDDELWEG 33-39;33-39 MIDDELWEG;1130;Haren;Haren;Haren;Haren;50.8890629, 4.420781
B;B;14;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06253;0423;RUE DU PRE AUX OIES 161-165;161-165 GANZENWEIDESTRAAT;1130;Haren;Haren;Haren;Haren;50.8952421, 4.4169468
C;C;26;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00204;0003;RUE COMTESSE DE FLANDRE 71-73;71-73 GRAVIN VAN VLAANDERENSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8770278, 4.354694444444444
B-;B;17;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00209;0003;RUE COMTESSE DE FLANDRE 71-73;71-73 GRAVIN VAN VLAANDERENSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8770278, 4.354694444444444
B-;B;17;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00207;0003;RUE COMTESSE DE FLANDRE 71-73;71-73 GRAVIN VAN VLAANDERENSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8770278, 4.354694444444444
B-;B;19;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;00208;0003;RUE COMTESSE DE FLANDRE 71-73;71-73 GRAVIN VAN VLAANDERENSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8770278, 4.354694444444444
C;C;24;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;04518;0327;RUE DE LA BRIQUETERIE 20/22;20/22 STEENBAKKERIJSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8738727, 4.3518029
C+;C;19;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;04516;0327;RUE DE LA BRIQUETERIE 20/22;20/22 STEENBAKKERIJSTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8738727, 4.3518029
C+;C;22;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;05040;0360;RUE LEOPOLD I 62/74;62/74 LEOPOLD I-STRAAT;1020;Laeken;Laken;Laeken;Laken;50.8786913, 4.3515534
C;C;24;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;05059;0360;RUE LEOPOLD I 62/74;62/74 LEOPOLD I-STRAAT;1020;Laeken;Laken;Laeken;Laken;50.8786913, 4.3515534
C;C;24;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;05058;0360;RUE LEOPOLD I 62/74;62/74 LEOPOLD I-STRAAT;1020;Laeken;Laken;Laeken;Laken;50.8786913, 4.3515534
